,Ref.,Name,,RRP(AED),COO,Comments
1,"CSAMI402
",SAMI-402,"Installation audio mixer in standard rack format, featuring 3 MIC/LINE ST inputs, 1 LINE ST input, 1 main mix balanced output and one AUX/REC additional output. It includes a 3 band tone control section, Talkover (priority) function assignable to each MIC/LINE input over the mix bus, 18V phantom power for all mic inputs, ST/MONO mix switch and MUTE port for external dry contact triggering. Dimensions 482.6 x 44(1RU) x 120 mm. Weight 1,7 kg",1863.38,SPAIN,
1,"CSAMI603
",SAMI-603,"6 inputs and 3 outputs installation audio mixer. Inputs: 1x MIC, 4x MIC/LINE ST, 1x LINE ST. Outputs: 1x ST (A/B) and 1x MONO (C). A/B output can operates in ST/MONO mode. Each input can be routed to output A, B and/or C. It includes a 3 band tone control section, talkover (priority) function assignable to each input over the mix bus, ST/MONO mix switch
for A/B output and MUTE port for external dry contact triggering. Dimensions",2564.55,SPAIN,
1,"CSAMI612
",SAMI-612,"Installation audio mixer in standard rack format, featuring 6 MIC/LINE ST inputs + 1 ST MIX input and 1 stereo balanced output. Each input has a dedicated 3-band tone control and 18V phantom power for MIC inputs. Input 1 includes talkover (priority) function over the mix bus and additional front panel jack connector. Main output ST/MONO mode switch and MUTE port for external dry contact triggering. Dimensions 482.6x44(1RU)x120 mm.",2636.59,SPAIN,
1,"CSAMI702BT
",SAMI-702BT,"Installation audio mixer in standard rack format, featuring 6 MIC/LINE ST inputs, 1 BT input, 1 main mix balanced output and one AUX/REC additional output. It includes a 3 band tone control section, Talkover (priority) function assignable to each MIC/LINE input over the mix bus, 18V phantom available for all mic inputs, ST/MONO mix switch and MUTE port for external dry contact triggering. Dimensions 482.6 x 44(1RU) x 120 mm. Weight 1,8 kg",2876.72,SPAIN,
1,"CVIVOX8
",VIVO-X8,"VIVO-X8 is an EclerPLEX Host with 8 analogue and 8 Dante™/AES67 audio input ports, 8 analogue and 8 Dante/AES67 audio output ports, scalable thanks to two X-link ports. A BIO- X8 expansion unit can be connected to each X-link port. VIVO-X8 as a Host in an EclerPLEX project, can contain multiple projects running simultaneously and serve
user panels.",12085.35,SPAIN,
1,"CBIOX8
",BIO-X8,"BIO-X8 is an affordable expansion interface that can easily scale up an VIVO-X8 digital matrix, adding to its default size, 8 input and 8 output analogue audio ports, 8 GPI ports  and 8 GPO ports. A maximum of 2 BIO-X8 units can be linked to the same VIVO-X8, reaching a maximum total of 24 analogue audio input ports, 24 analogue audio output ports, 24  GPIs and 24 GPOs control ports.",6238.49,SPAIN,
1,"CMIMO88
",MIMO88,"8 balanced MIC/LINE inputs / 8 balanced outputs + 2 monitor outputs digital audio matrix, fully programmable through EclerNet Manager and linkable to a second unit to become a 16x16 matrix. Includes 8 GPI and 8 GPO ports. DSP processing: Parametric EQ & filters for each channel, delays, compressor/limiter, paging, priority, automatic mix (MIMO Firmware) and remote control via UCP or WPNETTOUCH.Dimensions 482.6 x 44 x 266.5 mm. Weight",12069.84,SPAIN,
1,"CMIMO88SG
",MIMO88SG,"8 balanced MIC/LINE inputs / 8 balanced outputs digital audio matrix, fully programmable through EclerNet Manager. Includes 8 GPI ports. DSP processing: Parametric EQ & filters for each channel, delays, compressor/limiter, paging, priority, automatic mix (MIMO Firmware) and remote control via UCP or WPNETTOUCH. Dimensions 482.6 x 44 x 266.5 mm. Weight
3.5 kg",7825.73,SPAIN,
1,"CMIMO1212SG
",MIMO1212SG,"12 balanced MIC/LINE inputs / 12 balanced outputs digital audio matrix, fully  programmable through EclerNet Manager. Includes 12 GPI ports. DSP processing: Parametric EQ & filters for each channel, delays, compressor/limiter, paging, priority, automatic mix (MIMO Firmware) and remote control via UCP or WPNETTOUCH. Dimensions
1RU x 266,5mm depth. Weight 3,5 kg",9006.7,SPAIN,
1,"CMIMO4040CDN
",MIMO4040CDN,"Digital matrix with native processing of 40 inputs and 40 outputs (8 analogue inputs, 8 analogue outputs, 32 Dante™ inputs and 32 Dante™ outputs). MIMO4040CDN comes with a CONFERENCE tailored firmware, including Automixer, Feedback Killer and Acoustic Echo Cancelling functions. It features accessories from WPNET Series connected by Ethernet.
MIMO4040CDN is also capable of executing EclerNet projects thanks to its processor acting
as a UCP server. Dimensions 482,6x44x266,5mm. Weight 3.25 kg",17973.21,SPAIN,
1,CM40AEC2EXP,M40AEC2EXP,"Expansion license +2 AEC processing channels for MIMO4040CDN
*up to 8 AEC channels max. available in MIMO4040CDN",492.8,,
1,CM40AEC4EXP,M40AEC4EXP,"Expansion license +4 AEC processing channels for MIMO4040CDN
*up to 8 AEC channels max. available in MIMO4040CDN",990,,
1,CM40AEC6EXP,M40AEC6EXP,"Expansion license +6 AEC processing channels for MIMO4040CDN
*up to 8 AEC channels max. available in MIMO4040CDN",1487.2,,
1,"CMIMO7272DN
",MIMO7272DN,"64x64 native processing digital matrix with  72 inputs and 72 outputs (8 analogue inputs, 8 analogue outputs, 64 Dante™ inputs and 64 Dante™ outputs). Incorporating audio over IP technology, MIMO7272DN allows signal transmission using a Local Ethernet network. It features accessories from WPNET Series connected by Ethernet. MIMO7272DN is also capable of executing EclerNet projects thanks to its processor acting as a UCP server.
Dimensions 482,6x44x266,5mm. Weight 3.25 kg",17973.21,SPAIN,
1,CDAM614C,DAM614,"Fully programmable audio digital mixer. It includes 6 audio inputs (2x LINE ST + 4x LINE/MIC being possible to use them independently (mono) or as stereo-coupled inputs) and 4 audio outputs (can be used as mono or stereo zones). Phantom power, front panel inputs and outputs level controls, DSP processing, RS-232 connectivity (compatible with EclerCOMM/CA-NET) and 4 REMOTE control ports (0-10VDC). Dimensions 482.6 x 44(1RU)
x 120 mm. Weight 2.00 kg",4304.65,SPAIN,
1,CHUB1408,HUB1408,"HUB1408 is a digital audio zoner with a global size of 14 input and 8 output analogue channels. Available inputs are 4 MIC/LINE and 2 ST LINE local inputs, and 8 REMOTE LINE inputs. Available DSP: frequency shifter, link stereo, delay, crossover filters, graphic EQ, compressor/limiter and much more. Ecler pilot application, compatible with Android and iOS: control graphic panels set to user requirements. HxWxD: 88 (2RU) x 482,6 x 200mm. Weight 3,7 kg",5314.83,SPAIN,
1,"CHUB1616
",HUB1616,"HUB1616 is a digital audio zoner with a global size of 16 input and 16 output analogue channels. The input channels are: 4 channels for MIC/MONO LINE, 4 channels for ST LINE and 8 channels for MONO LINE received on the unit’s REMOTE ports, from wall panels eMCONTROL1. Available DSP: frequency shifter, link stereo, delay, crossover filters, graphic EQ, compressor/limiter and much more. Ecler pilot application, compatible with Android and iOS: control graphic panels set to user requirements. HxWxD: 88 (2RU) x 482,6 x
200mm. Weight 3,7 kg",7160.76,SPAIN,
1,"CBOB04
",BOB-04,4 LINE outputs Dante™ Break Out Box. It allows taking up to 4 Dante™ channels from the Ethernet network and converting them to 4 analogue audio LINE level signals. PoE (Power over Ethernet) DC supply directly from PoE ready Ethernet switches (external AC power supply available as an optional accessory).,2396.46,SPAIN,
1,"CBOB22
",BOB-22,"2x MIC/LINE inputs and 2 LINE outputs Dante Break Out Box. It allows taking up to 2 Dante™ channels from the Ethernet network and converting them to 2 analogue audio LINE level signals. It also allows taking up to 2 MIC/LINE analogue audio signals, convert them to 2 Dante™ channels and sent them to the Ethernet network. PoE (Power over",2876.72,SPAIN,
1,"CDN44BOBC
",DN44BOB,"4 inputs/4 outputs DANTE (Audio Over IP) Break Out Box. It allows to convert 4 analogue audio signals into 4 DANTE channels and send them into an Ethernet LAN, as well as to take 4 DANTE channels from the Ethernet network and convert them to analogue audio signals. It includes 4 GPI (0-10VDC) and 4 GPO control ports (NO/NC relays). Can be used together with EclerNet DANTE ready products or as a stand-alone DANTE interface. PUM3 included: rack-mount accessory to mount 2 halfwidth RU devices in 1 standard width RU space.
Dimensions 241 x 44(1RU) x 152 mm. Weight 1.1 kg",5270.22,SPAIN,
1,"CALMA24
",ALMA24,"Digital loudspeaker manager including 2 audio inputs and 4 audio outputs (all balanced), USB interface and 2 volume remote control ports (0-10VDC). Includes DSP processor 24bits/48kHz, parametric EQ, 3 crossover types, 20 user presets and password protection. ALMA24 is a 1RU stand-alone processor and EclerCOMM Manager compatibility.
Dimensions 482.6 x 44 x 120 mm. Weight 1.75 kg",2832.3,SPAIN,
1,"CALMA26
",ALMA26,"Digital loudspeaker manager including 2 audio inputs and 6 audio outputs (all balanced), USB interface and 2 volume remote control ports (0-10VDC). Includes DSP processor 24bits/48kHz, parametric EQ, 3 crossover types, 20 user presets and password protection. ALMA24 is a 1RU stand-alone processor and EclerCOMM Manager compatibility.
Dimensions 482.6 x 44 x 120 mm. Peso 1.75 kg",3869.57,SPAIN,
1,"CVIDA16Q
",VIDA-16Q,"1600W digital amplifier, with 4 amplified outputs that can be independently configured in high (100/70V) or low (8/4/2ohm) impedance. The VersaPower technology, developed by Ecler, allows an asymmetrical power distribution. Max output power @ 2?/4?/8? or @70/100V - Single channel is 1600W. Audio player - with microSD slot for local audio files – as well as signal generator, plus 2 auxiliary line outputs and 4 Dante digital outputs. Internal matrix and signal processing. Remote control user application for iOS/Android/Web.
Control and scheduled events for automation. Ultra low power consumption mode.",11468.05,SPAIN,
1,"CVIDA24Q
",VIDA-24Q,"2400W digital amplifier, with 4 amplified outputs that can be independently configured in high (100/70V) or low (8/4/2ohm) impedance. Max output power @ 2?/4?/8? or @70/100V – 4x600W /4 ? symetrical power distribution. The VersaPower technology, developed by Ecler, allows an asymmetrical power distribution with a max output power @ 4? or 100V – into one  single channel 2400W. Audio player - with microSD slot for local audio files – as well as signal generator, plus 2 auxiliary line outputs and 4 Dante digital outputs. Internal matrix and signal processing. Remote control user application for
iOS/Android/Web. Control and scheduled events for automation. Ultra low power",13055.68,SPAIN,
1,"CVIDA48Q
",VIDA-48Q,"4800W digital amplifier, with 4 amplified outputs that can be independently configured in high (100/70V) or low (8/4/2ohm) impedance. The VersaPower technology, developed by Ecler, allows an asymmetrical power distribution. Max output power @ 2?/4?/8? or @70/100V - Single channel is 2600W. Audio player - with microSD slot for local audio files – as well as signal generator, plus 2 auxiliary line outputs and 4 Dante digital outputs. Internal matrix and signal processing. Remote control user application for iOS/Android/Web.
Control and scheduled events for automation. Ultra low power consumption mode.",15660.72,SPAIN,
1,CHALO2B300,HALO-2B300,"2x300W amplifier, with 2 powered outputs usable as Low and High Impedance. Bridge between outputs should be used in High impedance or to double the power in Low Impedance. The built-in web interface (similar to VIDA Series) allows easy programming and control of basic or advanced functions, thanks to different access levels. All models include a single Ethernet interface for setup, control and  Dante™/AES67 protocol. Flexible end user control through customizable user panels, accessible via web GUI or mobile
application.",TBC,SPAIN,
1,"CHALO4B150
",HALO-4B150,"4x150W amplifier, with 2 powered outputs usable as Low and High Impedance. Bridge between outputs should be used in High impedance or to double the power in Low Impedance. The built-in web interface (similar to VIDA Series) allows easy programming and control of basic or advanced functions, thanks to different access levels. All models include a single Ethernet interface for setup, control and  Dante™/AES67 protocol. Flexible
end user control through customizable user panels, accessible via web GUI or mobile",TBC,SPAIN,
1,"CHALO4B300
",HALO-4B300,"4x300W amplifier, with 2 powered outputs usable as Low and High Impedance. Bridge between outputs should be used in High impedance or to double the power in Low Impedance. The built-in web interface (similar to VIDA Series) allows easy programming and control of basic or advanced functions, thanks to different access levels. All models include a single Ethernet interface for setup, control and  Dante™/AES67 protocol. Flexible
end user control through customizable user panels, accessible via web GUI or mobile",TBC,SPAIN,
1,"CHADA4B150
",HADA-4B150,"HADA-4B150 is a 4x125W digital amplifier that supports low and high impedance loads. The internal DSP, through the HADA DSP Manager software, allows tailoring the input and output signal through parametric EQs, multi-band compressors, limiters, and delays and each configuration can be saved as a preset.. Dimensions 482.6 x 88 x 281,5 mm / 19 x 3.46
x 11.08 in. Weight 4.7 Kg / 10.36 lbs",5542.78,SPAIN,
1,"CHADA4B250
",HADA-4B250,"HADA-4B250 is a 4x250W digital amplifier that supports low and high impedance loads. The internal DSP, through the HADA DSP Manager software, allows tailoring the input and output signal through parametric EQs, multi-band compressors, limiters, and delays and
each configuration can be saved as a preset.. Dimensions 482.6 x 88 x 281,5 mm / 19 x 3.46",5865.39,SPAIN,
1,"CHADA4B400
",HADA-4B400,"HADA-4B400 is a 4x400W digital amplifier that supports low and high impedance loads. The internal DSP, through the HADA DSP Manager software, allows tailoring the input and output signal through parametric EQs, multi-band compressors, limiters, and delays and each configuration can be saved as a preset.. Dimensions 482.6 x 88 x 281,5 mm / 19 x 3.46 x 11.08 in. Weight 5.4 Kg / 11.91 lb",6395,SPAIN,
1,"CHADA4B500
",HADA-4B500,"HADA-4B500 is a 4x500W digital amplifier that supports low and high impedance loads. The internal DSP, through the HADA DSP Manager software, allows tailoring the input and output signal through parametric EQs, multi-band compressors, limiters, and delays and each configuration can be saved as a preset.. Dimensions 482.6 x 88 x 281,5 mm / 19 x 3.46
x 11.08 in.  5.6 Kg / 12.35 lb",6836.31,SPAIN,
1,CHADA4B750,HADA-4B750,"HADA-4B750 is a 4x750W digital amplifier that supports low and high impedance loads. The internal DSP, through the HADA DSP Manager software, allows tailoring the input and output signal through parametric EQs, multi-band compressors, limiters, and delays and each configuration can be saved as a preset.. Dimensions 482.6 x 88 x 281,5 mm / 19 x 3.46",8381,SPAIN,
1,"CNXA480
",NXA 4-80,"4 in/4 out self-powered digital manager that stays halfway between a digital matrix and a class D multichannel amplifier (4 x 85W @ 4? RMS). Includes a powerful DSP processor, auto stand-by function, convection cooling, health self-test mode function and 4 GPI ports. Compatible with EclerNet Manager platform and UCP remote control system. Dimensions
482.6 x 88 x 373 mm. Weight 9.2 kg",NA,,
1,"CNXA4200
",NXA 4-200,"4 in /4 out self-powered digital manager that stays halfway between a digital matrix and a class D multichannel amplifier (4 x 202W @ 4? RMS). Includes a powerful DSP processor, auto stand-by function, convection cooling, health self-test mode function and 4 GPI ports. Compatible with EclerNet Manager platform and UCP remote control system. Dimensions
482.6 x 88(2RU) x 373 mm. Weight 12.6 kg",NA,,
1,"CNXA4400
",NXA 4-400,"4 in /4 out self-powered digital manager that stays halfway between a digital matrix and a class D multichannel amplifier (4 x 416W @ 4? RMS). Includes a powerful DSP processor, auto stand-by function, convection cooling, health self-test mode function and 4 GPI ports. Compatible with EclerNet Manager platform and UCP remote control system. Dimensions
482. 6x 88(2RU) x 373 mm. Weight 16.0 kg",NA,,
1,"CNXA6200
",NXA 6-200,"6 in /6 out self-powered digital manager that stays halfway between a digital matrix and a class D multichannel amplifier (6 x 218W @ 4? RMS). Includes a powerful DSP processor, auto stand-by function, convection cooling, health self-test mode function and 6 GPI ports. Compatible with EclerNet Manager platform and UCP remote control system.  Dimensions
482.6 x 88(2RU) x 373 mm. Weight 14.1 kg",NA,,
1,"CAURA2H150
",AURA-2H150,"Stereo amplifier with 2 x 150 WRMS @ 70/100V (high impedance) powered outputs. Iincludes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches. Dimensions 440 x 44(1RU) x
221mm. Weight 6.05 kg",3597.55,CHINA,
1,"CAURA4H150
",AURA-4H150,"Multichannel amplifier with 4 x 150 WRMS @ 70/100V (high impedance) powered outputs. Includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front
panel volume knobs can be locked using rear panel switches. Dimensions 440 x 44(1RU) x",5277.54,CHINA,
1,"CAURA2L150
",AURA-2L150,"Stereo 2x150 WRMS @ 4 ?, high efficiency amplifier.  Includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked
using rear panel switches. Dimensions 440 x 44(1RU) x 161 mm. Weight 2.60 kg",2636.36,CHINA,
1,"CAURA4L150
",AURA-4L150,"4x150 WRMS @ 4 ?, high efficiency multichannel amplifier. Includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches. Dimensions 482.6 x 44(1RU) x 221 mm. Weight 3.60 kg",3837.7,CHINA,
1,"CAURA8L150
",AURA-8L150,"8x150 WRMS @ 4 ?, high efficiency multichannel amplifier. Includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches.  Dimensions 482.6 x 44(1RU) x 341 mm. Weight 6 kg",7198.39,CHINA,
1,"CAURA2B600
",AURA-2B600,"2x600WRMS @ 4? offering compatibility with both LoZ (2/4/8?) and HiZ (70/100V) configurations and supporting dual or bridge mode (@4/8?). AURA Series also includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches.",4602.24,CHINA,
1,"CAURA2B900
",AURA-2B900,"2x900WRMS @ 4? offering compatibility with both LoZ (2/4/8?) and HiZ (70/100V) configurations and supporting dual or bridge mode (@4/8?). AURA Series also includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches.",5744.25,CHINA,
1,CAURA4B600,AURA-4B600,"4x600WRMS @ 4? offering compatibility with both LoZ (2/4/8?) and HiZ (70/100V) configurations and supporting dual or bridge mode (@4/8?). AURA Series also includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches.",6754.8,CHINA,
1,CAURA4B900,AURA-4B900,"4x900WRMS @ 4? offering compatibility with both LoZ (2/4/8?) and HiZ (70/100V) configurations and supporting dual or bridge mode (@4/8?). AURA Series also includes the option to link channels to the first input via a rear panel selector, as well as auto stand-by, overload and thermal protection, PFC, and an anti-clipping system. The front panel volume knobs can be locked using rear panel switches.",8054.8,CHINA,
