,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER,Loudspeakers,CARQIS105IB,ARQIS105i,"5"" 2 way ARQIS loudspeaker, 70 WRMS @ 8?, Black",Pcs,China,8518220000,33.5,26,36.5,5.5,3.6
1,ECLER,Loudspeakers,CARQIS105IW,ARQIS105i,"5"" 2 way ARQIS loudspeaker, 70 WRMS @ 8?, White",Pcs,China,8518220000,33.5,26,36.5,5.5,3.6
1,ECLER,Loudspeakers,CARQIS106IB,ARQIS106i,"6"" 2 way ARQIS loudspeaker, 120 WRMS @ 8 ?, Black",Pcs,China,8518220000,40.5,29,39.5,8.7,7.4
1,ECLER,Loudspeakers,CARQIS106IW,ARQIS106i,"6"" 2 way ARQIS loudspeaker, 120 WRMS @ 8 ?, White",Pcs,China,8518220000,40.5,29,39.5,8.7,7.4
1,ECLER,Loudspeakers,CARQIS108IB,ARQIS108i,"8"" 2 way ARQIS loudspeaker, 150 WRMS @ 8?, Black",Pcs,China,8518220000,44.5,32,43.5,10.5,8.4
1,ECLER,Loudspeakers,CARQIS108IW,ARQIS108i,"8"" 2 way ARQIS loudspeaker, 150 WRMS @ 8?, White",Pcs,China,8518220000,44.5,32,43.5,10.5,8.4
1,ECLER,Loudspeakers,CARQIS110IB,ARQIS110i,"10"" 2 way ARQIS loudspeaker, 300 WRMS @ 8?, Black",Pcs,China,8518220000,46,46,58,21,18.5
1,ECLER,Loudspeakers,CARQIS110IW,ARQIS110i,"10"" 2 way ARQIS loudspeaker, 300 WRMS @ 8?, White",Pcs,China,8518220000,46,46,58,21,18.5
1,ECLER,Loudspeakers,CARQIS112IB,ARQIS112i,"12"" 2 way ARQIS loudspeaker, 500 WRMS @ 8?, Black",Pcs,China,8518220000,65,47,47,26.2,23.8
1,ECLER,Loudspeakers,CARQIS112IW,ARQIS112i,"12"" 2 way ARQIS loudspeaker, 500 WRMS @ 8?, White",Pcs,China,8518220000,65,47,47,26.2,23.8
1,ECLER,Loudspeakers,CARQIS205IB,ARQIS205i,"2x5"" 2 way ARQIS loudspeaker, 140 WRMS @ 8?, Black",Pcs,China,8518220000,26.5,30,54,9.5,7.2
1,ECLER,Loudspeakers,CARQIS205IW,ARQIS205i,"2x5"" 2 way ARQIS loudspeaker, 140 WRMS @ 8?, White",Pcs,China,8518220000,26.5,30,54,9.5,7.2
1,ECLER,Loudspeakers,CARQIS208IB,ARQIS208i,"2x8"" 2 way ARQIS loudspeaker, 300 WRMS @ 8?, Black",Pcs,China,8518220000,58,40,38,16.4,13.4
1,ECLER,Loudspeakers,CARQIS208IW,ARQIS208i,"2x8"" 2 way ARQIS loudspeaker, 300 WRMS @ 8?, White",Pcs,China,8518220000,32.5,37,67,16.4,13.4
1,ECLER,Loudspeakers,CARQISSB10IB,ARQISSB10i,"10"" ARQIS subwoofer wallmount, 150 WRMS @ 8? BK",Pcs,China,8518220000,53.7,35.5,69,18.7,16.5
1,ECLER,Loudspeakers,CARQISSB10IW,ARQISSB10i,"10"" ARQIS subwoofer wallmount, 150 WRMS @ 8? WH",Pcs,China,8518220000,53.7,35.5,69,18.7,16.5
1,ECLER,Loudspeakers,CARQISSB12IB,ARQISSB12i,"12"" ARQIS subwoofer, 300 WRMS @ 8? BK",Pcs,China,8518220000,47,53.5,53.5,21.7,19.4
1,ECLER,Loudspeakers,CARQISSB15iB,ARQISSB15i,"15"" ARQIS subwoofer, 600 WRMS @ 8? BK",Pcs,China,8518220000,55.5,61.5,62.4,36.2,32
1,ECLER,Loudspeakers,CARQISSB6TIB,ARQISSB6Ti,"6,5"" ultra slim ARQIS wallmount subwoofer, power selector 60/120W & 8 ? BK",Pcs,China,8518220000,45.3,24,32,10.2,8.2
1,ECLER,Loudspeakers,CARQISSB6TIW,ARQISSB6Ti,"6,5"" ultra slim ARQIS wallmount subwoofer, power selector 60/120W & 8 ? WH",Pcs,China,8518220000,45.3,24,32,10.2,8.2
1,ECLER,Accesories,CARQSB10SATB,ARQSB10SATB,4 X eAMBIT103 on ARQISSB10 mount kit,Pcs,Spain,8518220000,12,12,55,3.3,3.3
1,ECLER,Loudspeakers,CAUDEO103BK,AUDEO103,"3"" wall mount loudspeaker,25W/8Ohm-15W/100V,Black ( Priced in Pc sold in pairs)",Pcs,China,8518220000,18.8,31.5,20.5,1.65,1.45
1,ECLER,Loudspeakers,CAUDEO103WH,AUDEO103,"3"" wall mount loudspeaker, 25W/8Ohm-15W/100V, White (Priced in Pc sold in pairs) ",Pcs,China,8518220000,18.8,31.5,20.5,1.65,1.45
1,ECLER,Loudspeakers,CAUDEO106BK,AUDEO106,"6"" wall mount loudspeaker 50W/8Ohm, 30W /100V, Black (Priced in Pc sold in pairs)",Pcs,China,8518220000,28,56,21,2.88,2.3
1,ECLER,Loudspeakers,CAUDEO106WH,AUDEO106,"6"" wall mount loudspeaker 50W/8Ohm, 30W /100V, White (Priced in Pc sold in pairs)",Pcs,China,8518220000,28,56,21,2.88,2.3
1,ECLER,Loudspeakers,CAUDEOSB110P,AUDEOSB110P,"10"" Powered Bass Reinforcement subwoofer 150W",Pcs,China,8518220000,48,55,39,16,11.5
1,ECLER,Amplifiers,CAURA2B600,AURA-2B600,AURA series AMP 2x600W @ 4Ohms &2 x 550W @100V,Pcs,China,8518400000,8,59,59,TBC,TBC
1,ECLER,Amplifiers,CAURA2B900,AURA-2B900,AURA series AMP 2x900W @ 4Ohms &2 x 800W @100V,Pcs,China,8518400000,8,59,59,TBC,TBC
1,ECLER,Amplifiers,CAURA2H150,AURA-2H150,Two channels amplifier | 2x150 W RMS @ 70/100V | Class D,Pcs,China,8518400000,7.5,59,40.5,TBC,TBC
1,ECLER,Amplifiers,CAURA2L150,AURA-2L150,Two channels amplifier | 2x150 W RMS @ 4? | Class D,Pcs,China,8518400000,7.5,59,40,TBC,TBC
1,ECLER,Amplifiers,CAURA4B600,AURA-4B600,AURA series AMP 4x600W @ 4Ohms & 4 x 550W @100V,Pcs,China,8518400000,8,59,59,TBC,TBC
1,ECLER,Amplifiers,CAURA4B900,AURA-4B900,AURA series AMP 4x900W @ 4Ohms & 4x 800W @100V,Pcs,China,8518400000,8,59,59,TBC,TBC
1,ECLER,Amplifiers,CAURA4H150,AURA-4H150,Two channels amplifier | 4x150 W RMS @ 70/100V | Class D,Pcs,China,8518400000,7.5,59,58.5,TBC,TBC
1,ECLER,Amplifiers,CAURA4L150,AURA-4L150,Two channels amplifier | 4x150 W RMS @ 4? | Class D,Pcs,China,8518400000,7.5,59,40,TBC,TBC
1,ECLER,Amplifiers,CAURA8L150,AURA-8L150,Two channels amplifier | 8x150 W RMS @ 4? | Class D,Pcs,China,8518400000,7.5,59,58.5,8.35,6.25
1,ECLER,Accesories,CAVICCAN6L,AVICCAN6L,Low Profile Back Can VIC6/VIC6X (Priced in Pc sold in pairs),Pcs,China,8518900000,22,21.5,21.5,1.1,0.8
1,ECLER,Accesories,CAVICCAN8L,AVICCAN8L,Low Profile Back Can VIC8/VIC8X (Priced in Pc sold in pairs),Pcs,China,8518900000,26,25.5,25.5,1.4,1.1
1,ECLER,Accesories,CAVICRG6BK,AVICRG6,VIC 6” Round Grille KIT 2u Black (Priced in Pc sold in pairs),Pcs,China,8518900000,1,26,26,0.35,0.25
1,ECLER,Accesories,CAVICRG6WH,AVICRG6,VIC 6” Round Grille KIT 2u White(Priced in Pc sold in pairs),Pcs,China,8518900000,1,26,26,0.35,0.25
1,ECLER,Accesories,CAVICRG8BK,AVICRG8,VIC 8” Round Grille KIT 2u Black (Priced in Pc sold in pairs),Pcs,China,8518900000,1,31,31,0.5,0.35
1,ECLER,Accesories,CAVICRG8WH,AVICRG8,VIC 8” Round Grille KIT 2u White (Priced in Pc sold in pairs)v,Pcs,China,8518900000,1,31,31,0.5,0.35
1,ECLER,Accesories,CAVICSG,AVICSG,VIC series squared grill 6 & 8 inches compatible(Priced in Pcs sold in pairs) ,Pcs,China,8302500000,2,35.5,35.5,0.5,0.4
1,ECLER,Matrixes,CBIOX8,BIO-X8,"EPX matrix Xpansionfor VIVO88 - 8analog IN , 8 analog OUT, 8GPI & GPO",Pcs,Spain,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Digital Matrixes And Processors,CBOB04,BOB-04,DANTE  4OUT Break out box,Pcs,Spain,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Digital Matrixes And Processors,CBOB22,BOB-22,DANTE 2IN 2OUT Break out box,Pcs,Spain,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Amplifiers,CCA120C,CA120,"Ultra-Compact Amplifiers 2 x 60 WRMS @ 4 ohm-serial RS-232 port, IR receiver and 0-10 VDC remote port.",Pcs,China,8518400000,6,34,22,1.7,0.95
1,ECLER,Amplifiers,CCA120HZC,CA120HZ,"Ultra-Compact Amplifiers 1x 96W@ 100V- serial RS-232 port, IR receiver and 0-10 VDC remote port.",Pcs,Spain,8518400000,6,45,22,3.8,2.92
1,ECLER,Amplifiers,CCA40,CA40,"2x20 WRMS @4ohms - stereo | micro-amplifier, remote control features: serial RS-232 port, IR receiver and 0-10 VDC remote port",Pcs,China,8518400000,6,22,17,1.4,1
1,ECLER,Accesories,CCEILYBK,CEILY,eMOTUS 3/5 Ceiling bracket -Black,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Accesories,CCEILYWH,CEILY,eMOTUS 3/5 Ceiling bracket - White,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,WiSpeak: Wireless Pro Audio,CCORE,CORE,WiSpeak Audio Transmitter,Pcs,Spain,8517699000,6,51,21,1.2,0.82
1,ECLER,Wireless Pro Audio,CCORE,CORE,WiSpeak Audio Transmitter,Pcs,Spain,8517699000,6,51,21,1.2,0.82
1,ECLER,WiSpeak: Wireless Pro Audio,CCUBE5BK,CUBE,5” WiSpeak RX Cabinet BK,Pcs,China,8518220000,26,32,22,3.2,2.15
1,ECLER,Wireless Pro Audio,CCUBE5BK,CUBE,5” WiSpeak RX Cabinet BK,Pcs,China,8518220000,26,32,22,3.2,2.15
1,ECLER,WiSpeak: Wireless Pro Audio,CCUBE5WH,CUBE,5” WiSpeak RX Cabinet WH,Pcs,China,8518220000,26,32,22,3.2,2.15
1,ECLER,Wireless Pro Audio,CCUBE5WH,CUBE,5” WiSpeak RX Cabinet WH,Pcs,China,8518220000,26,32,22,3.2,2.15
1,ECLER,Digital Matrixes And Processors,CDAM614C,DAM614,Installation Mixer 6in 4out RS232,Pcs,Spain,8518400000,6,56,22,2.6,2
1,ECLER,Digital Matrixes And Processors,CDN44BOBC,DN44BOB,DANTE 4IN 4OUT Break out box,Pcs,Spain,8518400000,5,22,41,1.4,1
1,ECLER,Loudspeakers,CDROP6BK,DROP6,"6.5 inches Two-way full-range pendant loudspeaker, 75 W RMS @ 8 ?, 60W/30W/15W/7.5W @ 70V or 100V line, BK",Pcs,China,8518210000,37,37,31,5.5,4.3
1,ECLER,Loudspeakers,CDROP6WH,DROP6,"6.5 inches Two-way full-range pendant loudspeaker, 75 W RMS @ 8 ?, 60W/30W/15W/7.5W @ 70V or 100V line, WH",Pcs,China,8518210000,37,37,31,5.5,4.8
1,ECLER,Sound Sources,CDUONTPLAYER,DUO-NET PLAYER,"Dual streaming & media audio player, Integrated RTC  and NTP  synchronization, for scheduled events triggering4 GPI ports ",Pcs,Spain,8519890000,6,56,22,2.6,1.8
1,ECLER,Loudspeakers,CEAMB103BK,eAMBIT103,"3"" | 2-way wall mount speaker,25W/8oh 15W/100V, Black  (Priced in Pc sold in pairs)",Pcs,China,8518220000,17,30,21,1.45,1.28
1,ECLER,Loudspeakers,CEAMB103WH,eAMBIT103,"3"" | 2-way wall mount speaker,25W/8oh 15W/100V, White  (Priced in Pc sold in pairs)",Pcs,China,8518220000,17,30,21,1.45,1.28
1,ECLER,Loudspeakers,CEAMB106BK,eAMBIT106,"6"" | 2-way wall mount speaker Black 50W/8oh 30W/100V(Priced in Pc sold in pairs)",Pcs,China,8518220000,27,43,26,3.1,2.8
1,ECLER,Loudspeakers,CEAMB106WH,eAMBIT106,"6"" | 2-way wall mount speaker White 50W/8oh 30W/100V(Priced in Pc sold in pairs)",Pcs,China,8518220000,27,43,26,3.1,2.8
1,ECLER,Amplifiers,CECA120C,eCA120,2 x 60 W RMS @ 4 ohm stereo micro compact amplifier,Pcs,Spain,8518400000,6,22,17,1.2,0.6
1,ECLER,Amplifiers,CECA120HZC,eCA120HZ,1 x 106W RMS @ 70V / 100V compact amplifier,Pcs,Spain,8518400000,6,34,22,3.1,2.3
1,ECLER,Loudspeakers,CECMP12,eCMP12,"12"" Weatherproof 2-way music projector 300 W @ 8? 100V/70V : 50/100/200W, IP65",Pcs,China,8518220000,49,47.5,44.5,21.3,19.3
1,ECLER,Loudspeakers,CECMP8,eCMP8,"8"" Weatherproof 2-way music projector 150 W @ 8? 100V/70V : 37,5/75/150W, IP65",Pcs,China,8518220000,35.5,36,33.5,11.7,10.7
1,ECLER,Installation Mixers,CECOMPACT4BT,eCOMPACT4BT,"4 Channel BT Mixer, desktop and 19"" rackmount with Bluetooth® ",Pcs,Spain,8518400000,20,21,50,3.8,3
1,ECLER,Loudspeakers,CECS803,eCS803,"Column type loudspeaker: 8 x 3” 80 WRMS Transformer selector: 30W-20W-10W-5W 100V 8 ohm, IP44",Pcs,China,8518220000,80,13,15,4.5,4.3
1,ECLER,Loudspeakers,CEDGESB110P,EDGE-SB110P,"Ultra compact powered subwoofer.10"" driver.120 W amplified power output.",Pcs,China,TBC,TBC,TBC,TBC,TBC,TBC
1,ECLER,Amplifiers,CEGPA2150C,eGPA2-150,"2x150 W RMS @ 4 ohm, high efficiency multichannel amplifier (class D)",Pcs,China,8518400000,7,32,59,3.7,2.7
1,ECLER,Amplifiers,CEGPA2300,eGPA2-300,"2x300 W RMS @ 4 ohm, high efficiency multichannel amplifier (class D)",Pcs,Spain,8518400000,7,38,59,4.6,3.4
1,ECLER,Amplifiers,CEGPA4150C,eGPA4-150,"4x150 W RMS @ 4 ohm, high efficiency multichannel amplifier (class D)",Pcs,China,8518400000,7,32,59,4.9,3.9
1,ECLER,Amplifiers,CEGPA8150C,eGPA8-150,"8x150 W RMS @ 4 ohm, high efficiency multichannel amplifier (class D)",Pcs,China,8518400000,7,51,59,7.9,6.9
1,ECLER,Amplifiers,CEHMA120C,eHMA120,"4 Channel Mixer amplifieer, 3 Mic/Line & 1 Line input, 95W @ 4ohm, 100/70V, Talkover function (priority),MUTE port ",Pcs,Spain,8518400000,7,32,58,4.2,2.9
1,ECLER,Amplifiers,CEHMA250,eHMA250,"6 Channel Mixer amplifieer4 Mic/Line & 2 Line input, 250W @ 4?/8?/50V/70V/100V, Talkover function (priority),MUTE port ",Pcs,Spain,8518400000,7,39,58,4.3,3
1,ECLER,Amplifiers,CEHMA60C,eHMA60,"3 Channel Mixer amplifieer 1 Mic &2 Mic/Line  1x60W @ 4ohm / 70V / 100V Talkover function (priority),MUTE port ",Pcs,Spain,8518400000,6,26,45,2.8,1.9
1,ECLER,Amplifiers,CEHSA2150C,eHSA2-150,2x150 W 100V ESSTL amplifier,Pcs,China,8518400000,7,38,59,7,6
1,ECLER,Amplifiers,CEHSA2500,eHSA2-500,2x500 W 100V Power Amplifier,Pcs,China,8518400000,17,49,54,8.5,6.3
1,ECLER,Amplifiers,CEHSA4150C,eHSA4-150,4x150 W 100V Power Amplifier,Pcs,China,8518400000,7,51,59,11.9,10.5
1,ECLER,Amplifiers,CEHSA4500,eHSA4-500,4x500 W 100V Power Amplifier,Pcs,China,8518400000,17,49,54,9.8,7.6
1,ECLER,Amplifiers,CEHSA460,eHSA4-60,4 x 60W @ 70-100V Power Amplifier,Pcs,China,8518400000,6.5,57.5,50,9,7.68
1,ECLER,Loudspeakers,CEIC51FM,eIC51FM,"4.5"" fast mount in-ceiling speaker, Power options 100V: 3 / 6W",Pcs,China,8518210000,7,18,18,0.6,0.51
1,ECLER,Loudspeakers,CEIC52,eIC52,"5"" 2 way in-ceiling loudspeaker, Two-way ABS speaker,100V: 6W / 3W / 8? (Priced in Pc sold in pairs)",Pcs,China,8518210000,21,21,8,1.2,1.12
1,ECLER,Loudspeakers,CEIC52MS,eIC52MS,"5"" 2 way marine sauna in-ceiling loudspeaker, suitable for installations exposed to extreme humidity and/or temperature, 20 WRMS @ 8 ?. (Priced in Pc sold in pairs)",Pcs,China,8518210000,8,21,21,1.2,1.1
1,ECLER,Amplifiers,CELPA21400,eLPA2-1400,"2 x 1400 WRMS @ 4?, Power  amplifier",Pcs,China,8518400000,16,43,59,7.9,6.35
1,ECLER,Amplifiers,CELPA2350,eLPA2-350,"2 x 350 WRMS @ 4?, Power  amplifier",Pcs,China,8518400000,16,43,59,6.9,5.5
1,ECLER,Amplifiers,CELPA2650,eLPA2-650,"2 x 650 WRMS @ 4?, Power  amplifier",Pcs,China,8518400000,16,43,59,7.5,6
1,ECLER,Amplifiers,CELPA2950,eLPA2-950,"2 x 9500 WRMS @ 4?, Power  amplifier",Pcs,China,8518400000,16,43,59,7.5,6.15
1,ECLER,Sound Sources,CEMBASE,eMBASE,Desktop microphone base,Pcs,China,8518100000,7,18.5,15,0.94,0.84
1,ECLER,Sound Sources,CEMCN2,eMCN2,Goose neck condenser microphone,Pcs,China,8518100000,4.5,62,4.5,0.24,0.16
1,ECLER,Remote Controls And Interfaces,CEMCONTROL1R,eMCONTROL1,Source / Volume conmtrol wall Panel Remote Control - For HUB,Pcs,Spain,8518400000,22,12,8,0.3,0.2
1,ECLER,Remote Controls And Interfaces,CEMCTROL1US,eMCTROL1US,Source / Volume conmtrol wall Panel Remote Control - For HUB -US,Pcs,Spain,8518400000,10,16,17,0.4,0.3
1,ECLER,Sound Sources,CEMHH1,eMHH1,Handheld dynamic microphone,Pcs,China,8518100000,6,21,12.5,0.68,0.24
1,ECLER,Sound Sources,CEMICFIT2,eMICFIT2,Fitness Headset Microphone,Pcs,China,8518100000,8,22.5,18,0.35,0.23
1,ECLER,Loudspeakers,CEMOTUS3ODBK,eMOTUS3OD,"3"" instal outdoor loudspeaker, 15 W 100V, IP65 Black (Priced in Pc sold in pairs)",Pcs,China,8518220000,22,19,42,TBC,TBC
1,ECLER,Loudspeakers,CEMOTUS3ODWH,eMOTUS3OD,"3"" instal outdoor loudspeaker, 15 W 100V, IP65 White (Priced in Pc sold in pairs)",Pcs,China,8518220000,22,19,42,TBC,TBC
1,ECLER,Loudspeakers,CEMOTUS5O16B,eMOTUS5O16,"5"" instal loudspeaker, 40 W@ 16 ohm, IP65 -Black",Pcs,China,8518220000,22,23,46,2.5,2.15
1,ECLER,Loudspeakers,CEMOTUS5O16W,eMOTUS5O16,"5"" instal loudspeaker, 40 W@ 16 ohm, IP65 -White",Pcs,China,8518220000,22,23,46,2.5,2.15
1,ECLER,Loudspeakers,CEMOTUS5ODBK,eMOTUS5OD,"5"" 2way wall mount outdoor loudspeaker, 40WRMS @ 8?Power selector: 3,75 / 7,5/ 15 / 30W @ 100V , IP65 Black (Priced in Pc sold in pairs)",Pcs,China,8518220000,22,23,46,2.5,2.15
1,ECLER,Loudspeakers,CEMOTUS5ODWH,eMOTUS5OD,"5"" 2way wall mount outdoor loudspeaker, 40WRMS @ 8?Power selector: 3,75 / 7,5/ 15 / 30W @ 100V , IP65 White (Priced in Pc sold in pairs)",Pcs,China,8518220000,22,23,46,2.5,2.15
1,ECLER,Loudspeakers,CEMOTUS5PBKC,eMOTUS5PBK,"5"" stereo loudspeaker kit including an active and a passive cabinet with BT connection, 2x25W. Black",Pcs,China,8518220000,22,23,46,5.7,4.78
1,ECLER,Loudspeakers,CEMOTUS5PBWC,eMOTUS5PB,"5"" stereo loudspeaker kit including an active and a passive cabinet with BT connection, 2x25W. White",Pair,China,8518220000,22,23,46,5.7,5
1,ECLER,Loudspeakers,CEMOTUS5PWHC,eMOTUS5P,"5"" stereo loudspeaker kit including an active and a passive cabine, 2x25W. White",Pair,China,8518220000,22,23,46,5.7,4.78
1,ECLER,Loudspeakers,CEMOTUS8ODBK,eMOTUS8OD,"8"" 2way wall mount outdoor loudspeaker, 100WRMS @ 8? Power selector: 60W / 30W / 15W / 7,5W @ 100V , IP65  Black (Priced in Pc sold in pairs)",Pcs,China,8518220000,39,72,30,5.3,4.25
1,ECLER,Loudspeakers,CEMOTUS8ODWH,eMOTUS8OD,"8"" 2way wall mount outdoor loudspeaker, 100WRMS @ 8? Power selector: 60W / 30W / 15W / 7,5W @ 100V , IP65  White (Priced in Pc sold in pairs)",Pcs,China,8518220000,39,72,30,5.3,4.25
1,ECLER,Remote Controls And Interfaces,CEMPAGE,eMPAGE," 16 Zone, 20 button paging mic compatible with HUB, MIMO88, MIMO88SG and MIMO1212SG digital matrixes",Pcs,Spain,8518400000,7,43,22,1.2,0.9
1,ECLER,Loudspeakers,CEMSP50TI,eMSP50Ti,Sound Projector 50W/100V,Pcs,China,8518220000,38,34,28,5,4.3
1,ECLER,Loudspeakers,CEPHS30TI,ePHS30Ti,Horn Loudspeaker 30W/100V,Pcs,China,8518220000,33,25,25,2.4,2
1,ECLER,Loudspeakers,CEPRS10TI,ePRS10Ti,Sound Projector 10W/100V,Pcs,China,8518220000,28,18,18,1.4,1
1,ECLER,Loudspeakers,CEPRS20TI,ePRS20Ti,Sound Projector 20W/100V,Pcs,China,8518220000,30,19,19,2.1,1.7
1,ECLER,Loudspeakers,CERK108,eRK108,"8"" outdoor ground loudspeaker, 15W @ 100V",Pcs,China,8518220000,34,30,28,5.1,4.9
1,ECLER,Installation Mixers,CESAM402C,eSAM402,4 channel stereo rackmount mixer,Pcs,China,8518400000,6,56,22,2.4,1.7
1,ECLER,Installation Mixers,CESAM603C,eSAM603,6 in 3 out raxck mount mixer,Pcs,Spain,8518400000,6,22,56,2.7,2.1
1,ECLER,Installation Mixers,CESAM702C,eSAM702,7channel rack mount mixer,Pcs,Spain,8518400000,6,56,22,2.5,1.8
1,ECLER,Sound Sources,CESASBT,eSAS-BT,"Stereo audio source player including FM tuner, USB slot, SD slot and wireless BT connection connection",Pcs,China,8519890000,11,21,53,2.2,1.42
1,ECLER,Accesories,CETH232AD,eTH232AD,TCP/IP - RS-232 Interface,Pcs,China,8517620000,18,12,6,0.43,0.22
1,ECLER,Loudspeakers,CEUC106,eUC106,"6,5"" sphere pendant loudspeaker, Transformer selector: 32W-16W-8W-4W 100V, white (Priced in Pc sold in pairs)",Pcs,China,8518220000,32,32,28,3.5,3.4
1,ECLER,Loudspeakers,CEUC106BK,eUC106,"6,5"" sphere pendant loudspeaker, Transformer selector: 32W-16W-8W-4W 100V, Black (Priced in Pc sold in pairs)",Pcs,China,8518220000,32,32,28,3.5,3
1,ECLER,Accesories,CFLATYBK,FLATYBK,MIA Close to Wall bracket Black,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,Accesories,CFLATYWH,FLATYWH,MIA Close to Wall bracket White,Pcs,China,8302500000,2,21,15,0.13,0.13
1,ECLER,WiSpeak: Wireless Pro Audio,CGLOBE5PDBK,GLOBE5PDBK,Pendant 5” WiSpeak RX Sphere Loudsp. Black,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,Wireless Pro Audio,CGLOBE5PDBK,GLOBE5PDBK,Pendant 5” WiSpeak RX Sphere Loudsp. Black,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,WiSpeak: Wireless Pro Audio,CGLOBE5PDWH,GLOBE5PDWH,Pendant 5” WiSpeak RX Sphere Loudsp. White,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,Wireless Pro Audio,CGLOBE5PDWH,GLOBE5PDWH,Pendant 5” WiSpeak RX Sphere Loudsp. White,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,WiSpeak: Wireless Pro Audio,CGLOBE5RMBK,GLOBE5RMBK,RailM 5” WiSpeak RX Sphere Loudspeak Black,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,Wireless Pro Audio,CGLOBE5RMBK,GLOBE5RMBK,RailM 5” WiSpeak RX Sphere Loudspeak Black,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,WiSpeak: Wireless Pro Audio,CGLOBE5RMWH,GLOBE5RMWH,RailM 5” WiSpeak RX Sphere Loudspeak White,Pcs,China,8518220000,48,36,36,3.7,2.2
1,ECLER,Wireless Pro Audio,CGLOBE5RMWH,GLOBE5RMWH,RailM 5” WiSpeak RX Sphere Loudspeak White,Pcs,China,8518220000,48,36,36,3.7,2.2
